iter	Passed	Remaining
469	723	815
470	723	813
471	724	810
472	725	808
473	726	805
474	726	803
475	727	800
476	728	798
477	729	796
478	729	793
479	730	791
480	732	790
481	734	788
482	735	787
483	737	786
484	738	783
485	738	781
486	739	778
487	740	776
488	740	774
489	741	771
490	742	769
491	742	767
492	743	764
493	744	762
494	745	760
495	746	758
496	748	757
497	749	755
498	750	753
499	750	750
500	751	748
501	752	746
502	753	744
503	753	741
504	754	739
505	755	738
506	757	736
507	757	734
508	758	731
509	759	729
510	760	727
511	761	726
512	764	726
513	765	724
514	767	722
515	767	720
516	768	718
517	769	716
518	771	714
519	771	712
520	772	710
521	774	709
522	775	707
523	776	704
524	777	703
525	779	702
526	780	700
527	781	698
528	782	696
529	783	694
530	784	692
531	785	690
532	785	688
533	786	686
534	787	684
535	788	682
536	788	680
537	789	678
538	790	676
539	791	674
540	793	673
541	795	672
542	796	670
543	797	668
544	798	666
545	799	664
546	800	662
547	801	661
548	803	660
549	804	658
550	808	658
551	811	658
552	813	657
553	814	655
554	819	656
555	825	659
556	826	657
557	829	657
558	832	656
559	832	654
560	833	652
561	838	653
562	842	654
563	845	653
564	847	652
565	849	651
566	852	650
567	854	649
568	855	648
569	860	649
570	862	648
571	865	647
572	877	653
573	880	653
574	881	651
575	882	649
576	887	650
577	889	649
578	895	650
579	896	649
580	897	647
581	898	645
582	899	643
583	900	641
584	902	639
585	903	638
586	903	636
587	904	633
588	905	631
589	906	629
590	906	627
591	910	627
592	912	626
593	913	624
594	915	622
595	916	620
596	916	618
597	917	616
598	918	614
599	919	612
600	920	610
601	920	608
602	921	606
603	923	605
604	924	603
605	926	602
606	927	600
607	928	598
608	929	596
609	930	594
610	930	592
611	931	590
612	932	588
613	933	586
614	934	584
615	934	582
616	935	580
617	936	578
618	937	577
619	938	575
620	940	573
621	941	572
622	943	570
623	944	569
624	945	567
625	946	565
626	946	563
627	947	561
628	948	559
629	948	557
630	949	555
631	950	553
632	951	551
633	952	549
634	953	548
635	954	546
636	955	544
637	956	542
638	957	540
639	958	539
640	958	537
641	959	535
642	960	533
643	961	531
644	961	529
645	962	527
646	963	525
647	963	523
648	964	521
649	965	519
650	966	517
651	967	516
652	968	514
653	969	512
654	970	511
655	971	509
656	972	507
657	972	505
658	973	503
659	974	501
660	974	499
661	975	498
662	976	496
663	977	494
664	977	492
665	978	490
666	979	488
667	979	486
668	980	485
669	981	483
670	982	481
671	984	480
672	985	479
673	986	477
674	987	475
675	988	473
676	988	471
677	989	469
678	990	468
679	990	466
680	991	464
681	992	462
682	992	460
683	993	459
684	994	457
685	994	455
686	997	454
687	998	452
688	999	451
689	1000	449
690	1001	447
691	1001	445
692	1002	444
693	1003	442
694	1004	440
695	1005	439
696	1006	437
697	1006	435
698	1007	433
699	1008	432
700	1008	430
701	1009	428
702	1011	427
703	1012	425
704	1013	424
705	1014	422
706	1015	421
707	1016	419
708	1017	417
709	1018	415
710	1018	414
711	1019	412
712	1020	410
713	1020	408
714	1021	407
715	1022	405
716	1023	403
717	1023	402
718	1024	400
719	1025	398
720	1027	397
721	1028	395
722	1029	394
723	1031	393
724	1032	391
725	1032	389
726	1033	388
727	1034	386
728	1035	384
729	1035	383
730	1036	381
731	1037	379
732	1037	378
733	1038	376
734	1039	374
735	1041	373
736	1042	372
737	1043	370
738	1044	368
739	1046	367
740	1046	365
741	1047	364
742	1048	362
743	1048	360
744	1049	359
745	1050	357
746	1051	355
747	1051	354
748	1052	352
749	1053	351
750	1053	349
751	1054	347
752	1055	346
753	1056	344
754	1058	343
755	1059	341
756	1060	340
757	1061	338
758	1061	337
759	1062	335
760	1063	333
761	1064	332
762	1064	330
763	1065	329
764	1066	327
765	1066	325
766	1067	324
767	1068	322
768	1068	321
769	1069	319
770	1071	318
771	1072	316
772	1073	315
773	1074	313
774	1075	312
775	1076	310
776	1077	309
777	1077	307
778	1078	305
779	1079	304
780	1079	302
781	1080	301
782	1081	299
783	1081	298
784	1082	296
785	1083	294
786	1085	293
787	1086	292
788	1087	290
789	1088	289
790	1089	287
791	1090	286
792	1091	284
793	1092	283
794	1092	281
795	1093	280
796	1094	278
797	1094	277
798	1095	275
799	1096	274
800	1096	272
801	1097	270
802	1098	269
803	1099	268
804	1107	268
805	1108	266
806	1108	265
807	1109	263
808	1110	262
809	1110	260
810	1111	259
811	1112	257
812	1113	256
813	1114	254
814	1115	253
815	1117	251
816	1118	250
817	1119	248
818	1120	247
819	1121	246
820	1122	244
821	1123	243
822	1123	241
823	1124	240
824	1125	238
825	1126	237
826	1126	235
827	1127	234
828	1128	232
829	1129	231
830	1131	230
831	1132	228
832	1134	227
833	1135	225
834	1136	224
835	1136	223
836	1137	221
837	1138	220
838	1139	218
839	1139	217
840	1140	215
841	1141	214
842	1143	212
843	1144	211
844	1145	210
845	1148	209
846	1150	207
847	1150	206
848	1152	204
849	1153	203
850	1155	202
851	1156	200
852	1157	199
853	1158	197
854	1158	196
855	1159	195
856	1165	194
857	1166	193
858	1167	191
859	1168	190
860	1169	188
861	1171	187
862	1172	186
863	1178	185
864	1181	184
865	1182	182
866	1183	181
867	1183	180
868	1184	178
869	1185	177
870	1185	175
871	1186	174
872	1187	172
873	1188	171
874	1188	169
875	1189	168
876	1191	167
877	1192	165
878	1193	164
879	1194	162
880	1195	161
881	1196	160
882	1197	158
883	1198	157
884	1198	155
885	1199	154
886	1200	152
887	1201	151
888	1201	150
889	1202	148
890	1203	147
891	1203	145
892	1205	144
893	1206	143
894	1207	141
895	1207	140
896	1208	138
897	1209	137
898	1210	135
899	1211	134
900	1211	133
901	1212	131
902	1213	130
903	1214	128
904	1214	127
905	1216	126
906	1217	124
907	1218	123
908	1219	122
909	1220	120
910	1221	119
911	1223	118
912	1224	116
913	1225	115
914	1226	113
915	1227	112
916	1227	111
917	1228	109
918	1229	108
919	1229	106
920	1230	105
921	1236	104
922	1237	103
923	1240	102
924	1241	100
925	1241	99
926	1242	97
927	1243	96
928	1244	95
929	1244	93
930	1245	92
931	1246	90
932	1246	89
933	1247	88
934	1248	86
935	1249	85
936	1250	84
937	1251	82
938	1252	81
939	1253	80
940	1254	78
941	1255	77
942	1256	75
943	1256	74
944	1257	73
945	1258	71
946	1258	70
947	1259	69
948	1260	67
949	1261	66
950	1261	65
951	1262	63
952	1263	62
953	1264	60
954	1265	59
955	1266	58
956	1267	56
957	1269	55
958	1270	54
959	1270	52
960	1271	51
961	1272	50
962	1273	48
963	1273	47
964	1274	46
965	1275	44
966	1275	43
967	1276	42
968	1277	40
969	1278	39
970	1279	38
971	1280	36
972	1281	35
973	1282	34
974	1283	32
975	1284	31
976	1285	30
977	1285	28
978	1286	27
979	1287	26
980	1288	24
981	1288	23
982	1290	22
983	1291	21
984	1293	19
985	1295	18
986	1296	17
987	1299	15
988	1301	14
989	1302	13
990	1304	11
991	1305	10
992	1306	9
993	1307	7
994	1312	6
995	1317	5
996	1318	3
997	1318	2
998	1319	1
999	1320	0
